央视频道,#genre#
CCTV1综合,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227209/index.m3u8
CCTV2财经,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227206/index.m3u8
CCTV3综艺,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227215/index.m3u8
CCTV4中文国际,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227324/index.m3u8
CCTV5体育,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227218/index.m3u8
CCTV5+体育赛事,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227236/index.m3u8
CCTV6电影,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227221/index.m3u8
CCTV7国防军事,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226905/index.m3u8
CCTV8电视剧,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227325/index.m3u8
CCTV9纪录,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227337/index.m3u8
CCTV10科教,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227321/index.m3u8
CCTV11戏曲,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227251/index.m3u8
CCTV12社会与法,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227343/index.m3u8
CCTV13新闻,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227333/index.m3u8
CCTV14少儿,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227349/index.m3u8
CCTV15音乐,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227361/index.m3u8
CCTV16奥林匹克,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227346/index.m3u8
CCTV17农村农业,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227352/index.m3u8
辽宁本地,#genre#
沈阳新闻综合,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226895/index.m3u8
辽宁卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227242/index.m3u8
辽宁都市,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227355/index.m3u8
辽宁影视剧,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227331/index.m3u8
辽宁生活,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227319/index.m3u8
辽宁体育,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227334/index.m3u8
辽宁教育青少,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227297/index.m3u8
辽宁北方,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227327/index.m3u8
辽宁经济,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227322/index.m3u8
辽宁公共,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227224/index.m3u8
地方卫视,#genre#
湖南卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226669/index.m3u8
浙江卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226700/index.m3u8
江苏卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226672/index.m3u8
北京卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226666/index.m3u8
上海卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226697/index.m3u8
广东卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226743/index.m3u8
深圳卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226725/index.m3u8
天津卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226742/index.m3u8
重庆卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226737/index.m3u8
黑龙江卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226749/index.m3u8
吉林卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227163/index.m3u8
云南卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226816/index.m3u8
海南卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226801/index.m3u8
山东卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226739/index.m3u8
安徽卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226746/index.m3u8
湖北卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226705/index.m3u8
四川卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226728/index.m3u8
